icd9_code,icd10_code,rank,reason
21,B343ZZ3,1,The ICD-9 code specifies 'extracranial cerebral vessels'. The common carotid artery is an extracranial cerebral vessel. The root operation 'Ultrasonography' (0B3) matches the 'imaging' in the ICD-9 description. The approach 'Intravasc' (3) matches the 'Intravascular' in the ICD-9 description. The body part 'Right Common Carotid Artery' (3) is a specific extracranial cerebral vessel.
21,B344ZZ3,2,The ICD-9 code specifies 'extracranial cerebral vessels'. The common carotid artery is an extracranial cerebral vessel. The root operation 'Ultrasonography' (0B3) matches the 'imaging' in the ICD-9 description. The approach 'Intravasc' (3) matches the 'Intravascular' in the ICD-9 description. The body part 'Left Common Carotid Artery' (4) is a specific extracranial cerebral vessel.
21,B345ZZ3,3,"The ICD-9 code specifies 'extracranial cerebral vessels'. The common carotid artery is an extracranial cerebral vessel. The root operation 'Ultrasonography' (0B3) matches the 'imaging' in the ICD-9 description. The approach 'Intravasc' (3) matches the 'Intravascular' in the ICD-9 description. The body part 'Bi Com Carotid' (5) represents bilateral common carotid arteries, which are extracranial cerebral vessels."
21,B346ZZ3,4,The ICD-9 code specifies 'extracranial cerebral vessels'. The internal carotid artery is an extracranial cerebral vessel. The root operation 'Ultrasonography' (0B3) matches the 'imaging' in the ICD-9 description. The approach 'Intravasc' (3) matches the 'Intravascular' in the ICD-9 description. The body part 'Right Internal Carotid Artery' (6) is a specific extracranial cerebral vessel.
21,B347ZZ3,5,The ICD-9 code specifies 'extracranial cerebral vessels'. The internal carotid artery is an extracranial cerebral vessel. The root operation 'Ultrasonography' (0B3) matches the 'imaging' in the ICD-9 description. The approach 'Intravasc' (3) matches the 'Intravascular' in the ICD-9 description. The body part 'Left Internal Carotid Artery' (7) is a specific extracranial cerebral vessel.
21,B348ZZ3,6,"The ICD-9 code specifies 'extracranial cerebral vessels'. The internal carotid artery is an extracranial cerebral vessel. The root operation 'Ultrasonography' (0B3) matches the 'imaging' in the ICD-9 description. The approach 'Intravasc' (3) matches the 'Intravascular' in the ICD-9 description. The body part 'Bi Int Carotid' (8) represents bilateral internal carotid arteries, which are extracranial cerebral vessels."
23,B34HZZ3,1,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Upper Extremity Arteries, Intravasc). Specificity to right upper extremity is acceptable as a representative example."
23,B34JZZ3,2,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Left Upper Extremity Arteries, Intravasc). Specificity to left upper extremity is acceptable as a representative example."
23,B34KZZ3,3,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Bi Upper Extremity Arteries, Intravasc). Bilateral specification is acceptable."
23,B44FZZ3,4,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Right Lower Extremity Arteries, Intravasc). Specificity to right lower extremity is acceptable as a representative example."
23,B44GZZ3,5,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Left Lower Extremity Arteries, Intravasc). Specificity to left lower extremity is acceptable as a representative example."
23,B44HZZ3,6,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Bi Lower Extremity Arteries, Intravasc). Bilateral specification is acceptable."
23,B44LZZ3,7,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Femoral Artery, Intravascular). Femoral artery is a peripheral vessel."
23,B54BZZ3,8,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Right Lower Extremity Veins, Intravasc). Matches imaging and location, but specifies veins instead of general vessels."
23,B54CZZ3,9,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Left Lower Extremity Veins, Intravasc). Matches imaging and location, but specifies veins instead of general vessels."
23,B54DZZ3,10,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Bi Lower Extremity Veins, Intravasc). Matches imaging and location, but specifies veins instead of general vessels."
23,B54MZZ3,11,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Right Upper Extremity Veins, Intravasc). Matches imaging and location, but specifies veins instead of general vessels."
23,B54NZZ3,12,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Left Upper Extremity Veins, Intravasc). Matches imaging and location, but specifies veins instead of general vessels."
23,B54PZZ3,13,"Matches 'Imaging' (Ultrasonography) and 'peripheral vessels' (Bi Upper Extremity Veins, Intravasc). Matches imaging and location, but specifies veins instead of general vessels."
24,B240ZZ3,1,"The ICD-9 code specifies 'coronary vessels'. B240ZZ3 specifies 'Single Coronary Artery', which is a specific type of coronary vessel. This is the closest match semantically."
24,B241ZZ3,2,"The ICD-9 code specifies 'coronary vessels' (plural implied). B241ZZ3 specifies 'Multiple Coronary Arteries', which directly corresponds to the plural nature implied in the ICD-9 code."
24,B24DZZ3,3,"This code refers to the 'Pediatric Heart'. While coronary vessels are part of the heart, the ICD-9 code does not specify a pediatric context. This is less specific than the coronary artery codes."
24,B244ZZ3,4,This code specifies the 'Right Heart'. Coronary vessels are associated with the heart but are not the entire right heart. This is less specific than the coronary artery codes.
24,B245ZZ3,5,This code specifies the 'Left Heart'. Coronary vessels are associated with the heart but are not the entire left heart. This is less specific than the coronary artery codes.
24,B246ZZ3,6,This code specifies the 'Right and Left Heart'. Coronary vessels are associated with the heart but are not the entire right and left heart. This is less specific than the coronary artery codes.
28,B44BZZ3,1,"The ICD-9 code specifies 'other specified vessel(s)'. This ICD-10 code represents 'Other Intra-Abdominal Arteries', which is a plausible interpretation of 'other specified vessel(s)' within the context of intravascular imaging, although it is specific to the abdomen."
28,B44KZZ3,2,"This code represents 'Celiac and Mesenteric Arteries'. While more specific than 'other specified vessel(s)', these are common vessels for intravascular imaging, making it a reasonable, though not perfect, match."
28,B440ZZ3,3,"This code represents the 'Abdominal Aorta'. While a specific vessel, it's a common site for intravascular imaging. It's less general than the ICD-9 code but a possible interpretation."
28,B444ZZ3,4,"This code represents the 'Superior Mesenteric Artery'. Similar to B440ZZ3, it's a specific vessel often imaged intravascularly, but less general than the ICD-9 code."
28,B445ZZ3,5,"This code represents the 'Inferior Mesenteric Artery'. Like B444ZZ3, it's specific but a possible target for intravascular imaging."
28,B34RZZ3,6,"This code specifies 'Intracranial Arteries'. While intravascular imaging can be done here, the ICD-9 code is non-specific about location, making this less likely than codes representing more general or abdominal vessels."
28,B34VZZ3,7,"This code specifies 'Ophthalmic Arteries'. Similar to B34RZZ3, it's a specific location not implied by the general ICD-9 code."
28,B44NZZ3,8,This code specifies 'Penile Arteries'. This is a very specific location and less likely to be the intended meaning of the general ICD-9 code.
28,B543ZZ3,9,"This code specifies 'Right Jugular Veins'. The ICD-9 code mentions 'vessel(s)', which could include veins, but this is a specific vein location."
28,B544ZZ3,10,"This code specifies 'Left Jugular Veins'. Similar to B543ZZ3, it's a specific vein location."
28,B54TZZ3,11,"This code specifies 'Portal and Splanchnic Veins'. While veins are vessels, this is a specific location not implied by the general ICD-9 code."
32,8E09XBH,1,"The ICD-9 code specifies 'Computer assisted surgery with MR/MRA'. The ICD-10 code 8E09XBH represents 'Computer Assisted Procedure of Head and Neck Region, w MRI'. The root operation 'Computer Assisted Procedure' (8E0) aligns with the 'Computer assisted surgery' concept. The qualifier 'w MRI' aligns with 'MR/MRA'. The body part 'Head and Neck Region' is a plausible, albeit unspecified, target for computer-assisted surgery, making this the best semantic match among the options."
32,8E0WXBH,2,"This code represents 'Computer Assisted Procedure of Trunk Region, w MRI'. It shares the correct root operation (8E0) and qualifier (w MRI) with the ICD-9 description. The body part 'Trunk Region' is a possible target for computer-assisted surgery, but less specific or common than the head/neck region in the context of MR/MRA guidance."
32,8E0XXBH,3,"This code represents 'Computer Assisted Procedure of Upper Extremity, w MRI'. It shares the correct root operation (8E0) and qualifier (w MRI). The body part 'Upper Extremity' is a possible target, but potentially less likely than the trunk or head/neck for this type of procedure."
32,8E0YXBH,4,"This code represents 'Computer Assisted Procedure of Lower Extremity, w MRI'. It shares the correct root operation (8E0) and qualifier (w MRI). The body part 'Lower Extremity' is a possible target, but potentially less likely than the trunk or upper extremity for this type of procedure."
33,8E09XBF,1,"The ICD-9 description 'Computer assisted surgery with fluoroscopy' is a general description. The ICD-10 code '8E09XBF' represents 'Computer Assisted Procedure of Head and Neck, w Fluoro'. While the ICD-9 code doesn't specify a body part, the ICD-10 code includes a specific body part ('Head and Neck'). This is the closest match among the candidates as it captures the 'Computer Assisted' and 'Fluoroscopy' elements. The body part is specific but not explicitly contradicted by the ICD-9 description."
33,8E0WXBF,2,"This code represents 'Computer Assisted Procedure of Trunk Region, w Fluoro'. It captures the 'Computer Assisted' and 'Fluoroscopy' elements, similar to the top-ranked code. However, 'Trunk Region' is a specific body part not mentioned in the ICD-9 description, making it slightly less general than 'Head and Neck' in this context."
33,8E0XXBF,3,"This code represents 'Computer Assisted Procedure of Upper Extremity, w Fluoro'. It captures the 'Computer Assisted' and 'Fluoroscopy' elements. 'Upper Extremity' is a specific body part not mentioned in the ICD-9 description."
33,8E0YXBF,4,"This code represents 'Computer Assisted Procedure of Lower Extremity, w Fluoro'. It captures the 'Computer Assisted' and 'Fluoroscopy' elements. 'Lower Extremity' is a specific body part not mentioned in the ICD-9 description."
39,8E09XBZ,1,"This code directly maps the 'Computer Assisted' concept to a specific body region (Head and Neck). While the ICD-9 code is vague ('Other'), this code represents a plausible specific application of the general concept."
39,8E0WXBZ,2,"This code also maps the 'Computer Assisted' concept to a specific body region (Trunk). It's a plausible application, similar to 8E09XBZ."
39,8E0XXBZ,3,This code maps the 'Computer Assisted' concept to the Upper Extremity. A plausible application.
39,8E0YXBZ,4,This code maps the 'Computer Assisted' concept to the Lower Extremity. A plausible application.
56,02HK40Z,1,"Best match. Root Operation 'Insertion' matches. Body Part 'R Ventricle' is plausible for intracardiac monitoring. Approach 'Percutaneous Endoscopic' is a common approach for intracardiac devices. Device 'Pressure Sens' directly matches the ICD-9 description. The ICD-9 description implies a lead, but the PCS code doesn't explicitly capture leads; however, this is the closest semantic match."
56,02HK00Z,2,Good match. Root Operation 'Insertion' matches. Body Part 'R Ventricle' is plausible. Approach 'Open' is possible but less common for this type of device than percutaneous/endoscopic. Device 'Pressure Sens' matches.
56,02HK30Z,3,Fair match. Root Operation 'Insertion' matches. Body Part 'R Ventricle' is plausible. Approach 'Percutaneous' is plausible. Device 'Pressure Sens' matches.
56,02HK42Z,4,Fair match. Root Operation 'Insertion' matches. Body Part 'R Ventricle' is plausible. Approach 'Percutaneous Endoscopic' is plausible. Device 'Monitor Dev' is less specific than 'Pressure Sens' but related.
56,02HK02Z,5,Poor match. Root Operation 'Insertion' matches. Body Part 'R Ventricle' is plausible. Approach 'Open' is possible but less common. Device 'Monitor Dev' is less specific than 'Pressure Sens'.
57,0JH600Z,1,"Matches 'Implantation' (Insert), 'subcutaneous device' (Hemodyn Monitor Dev), 'intracardiac or great vessel hemodynamic monitoring' (Hemodyn Monitor Dev in Chest), and 'subcutaneous' (Subcu/Fascia). Open approach is a possible method for subcutaneous implantation."
57,0JH630Z,2,"Matches 'Implantation' (Insert), 'subcutaneous device' (Hemodyn Monitor Dev), 'intracardiac or great vessel hemodynamic monitoring' (Hemodyn Monitor Dev in Chest), and 'subcutaneous' (Subcu/Fascia). Percutaneous approach is also a possible method for subcutaneous implantation."
57,0JH800Z,3,"Matches 'Implantation' (Insert), 'subcutaneous device' (Hemodyn Monitor Dev), and 'subcutaneous' (Subcu/Fascia). However, the body part is 'Abd' (Abdomen) instead of 'Chest' (intracardiac or great vessel)."
57,0JH830Z,4,"Matches 'Implantation' (Insert), 'subcutaneous device' (Hemodyn Monitor Dev), and 'subcutaneous' (Subcu/Fascia). However, the body part is 'Abd' (Abdomen) instead of 'Chest' (intracardiac or great vessel). Percutaneous approach is also a possible method."
58,02HW00Z,1,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Pressure Sens), and 'Aorta' (Thor Aorta Desc). 'Intra-aneurysm sac' is not explicitly captured, but the aorta is the most likely location for an aneurysm requiring such monitoring. Open approach is plausible for intraoperative."
58,02HW30Z,2,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Pressure Sens), and 'Aorta' (Thor Aorta Desc). Percutaneous approach is also a plausible method for intraoperative monitoring."
58,02HW40Z,3,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Pressure Sens), and 'Aorta' (Thor Aorta Desc). Percutaneous endoscopic approach is another plausible method."
58,02HX00Z,4,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Pressure Sens), and 'Aorta' (Thor Aorta Asc). Ascending aorta is a possible, though less common, site for aneurysms compared to descending."
58,02HX30Z,5,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Pressure Sens), and 'Aorta' (Thor Aorta Asc). Percutaneous approach for ascending aorta."
58,02HX40Z,6,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Pressure Sens), and 'Aorta' (Thor Aorta Asc). Percutaneous endoscopic approach for ascending aorta."
58,04H002Z,7,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Monitoring Device), and 'Aorta' (Abd Aorta). Abdominal aorta is a common site for aneurysms."
58,04H032Z,8,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Monitoring Device), and 'Aorta' (Abd Aorta). Percutaneous approach for abdominal aorta."
58,04H042Z,9,"Matches 'Insertion' (Insert), 'Pressure Monitoring Device' (Monitoring Device), and 'Aorta' (Abd Aorta). Percutaneous endoscopic approach for abdominal aorta."
59,4A030BC,1,"The ICD-9 code describes 'Intravascular pressure measurement'. The ICD-10 code 'Measurement of Arterial Pressure, Coronary' directly matches the core concept of measuring pressure within the coronary arteries. The 'Open Approach' is a possible, albeit less common, way to access coronary arteries for measurement compared to percutaneous, but it is semantically valid."
59,4A033BC,2,"Similar to 4A030BC, this code matches the core concept of 'Measurement of Arterial Pressure, Coronary'. The 'Percutaneous Approach' is a common method for accessing coronary arteries, making it a highly plausible match for 'Intravascular pressure measurement'."
59,4A130BC,3,"This code involves 'Monitoring of Arterial Pressure, Coronary' with an 'Open Approach'. While 'measurement' and 'monitoring' are related, 'measurement' implies a specific, often discrete, action, whereas 'monitoring' implies continuous or repeated observation. The ICD-9 code uses 'measurement', making this code slightly less precise than the 'Measurement' codes (4A030BC, 4A033BC)."
59,4A133BC,4,"Similar to 4A130BC, this code involves 'Monitoring of Arterial Pressure, Coronary', but with a 'Percutaneous Approach'. The distinction between 'measurement' (ICD-9) and 'monitoring' (ICD-10) makes this code less precise than the 'Measurement' codes. The percutaneous approach is plausible but doesn't elevate it above 4A130BC due to the root operation mismatch."
62,037G3ZZ,1,"Matches 'Dilation' (angioplasty), 'Intracranial Artery' (intracranial vessel), and 'Percutaneous Approach' (percutaneous). The most direct semantic match."
62,037G3DZ,2,"Matches 'Dilation' (angioplasty), 'Intracranial Artery' (intracranial vessel), and 'Percutaneous Approach' (percutaneous). Includes 'Intralum Dev' which is a possible interpretation of angioplasty but less specific than the base dilation."
62,037G34Z,3,"Matches 'Dilation' (angioplasty), 'Intracranial Artery' (intracranial vessel), and 'Percutaneous Approach' (percutaneous). Specifies 'Drug-elut Intra' which is a specific type of angioplasty not explicitly mentioned but plausible."
62,037G4ZZ,4,"Matches 'Dilation' (angioplasty), 'Intracranial Artery' (intracranial vessel). Uses 'Perc Endo Approach' which is a less common but possible interpretation of 'percutaneous' in this context."
62,037G4DZ,5,"Matches 'Dilation' (angioplasty), 'Intracranial Artery' (intracranial vessel). Uses 'Perc Endo Approach' and includes 'Intralum Dev'."
62,037G44Z,6,"Matches 'Dilation' (angioplasty), 'Intracranial Artery' (intracranial vessel). Uses 'Perc Endo Approach' and specifies 'Drug-elut Intra'."
62,057L3DZ,7,Matches 'Dilation' (angioplasty) and 'Percutaneous Approach' (percutaneous). Incorrectly specifies 'Intracranial Vein' instead of 'Artery'.
62,057L4DZ,8,Matches 'Dilation' (angioplasty). Incorrectly specifies 'Intracranial Vein' and uses 'Perc Endo Approach'.
62,0GTG0ZZ,9,Incorrect Body Part (Thyroid Gland) and Root Operation (Resection).
62,0GTG4ZZ,10,Incorrect Body Part (Thyroid Gland) and Root Operation (Resection).
62,0GTH0ZZ,11,Incorrect Body Part (Thyroid Gland) and Root Operation (Resection).
62,0GTH4ZZ,12,Incorrect Body Part (Thyroid Gland) and Root Operation (Resection).
66,02703ZZ,1,The root operation 'Dilation' directly corresponds to 'angioplasty'. The body part 'Coronary Artery' matches. The approach 'Percutaneous' matches 'Percutaneous'. The quantity 'One Artery' is a reasonable default assumption for a single procedure unless otherwise specified.
66,02704ZZ,2,"Similar to 02703ZZ, 'Dilation' matches 'angioplasty', 'Coronary Artery' matches, and 'Percutaneous Endoscopic' is a specific type of 'Percutaneous' approach, also matching the ICD-9 term."
66,02713ZZ,3,"Matches root operation, body part, and approach. 'Two Arteries' is a possible interpretation if the procedure involved multiple arteries, although the ICD-9 code doesn't specify quantity."
66,02714ZZ,4,"Matches root operation, body part, and approach. 'Two Arteries' is a possible interpretation, and 'Percutaneous Endoscopic' is a specific type of 'Percutaneous' approach."
66,02723ZZ,5,"Matches root operation, body part, and approach. 'Three Arteries' is a possible interpretation, although less likely than one or two without further information."
66,02724ZZ,6,"Matches root operation, body part, and approach. 'Three Arteries' is a possible interpretation, and 'Percutaneous Endoscopic' is a specific type of 'Percutaneous' approach."
66,02733ZZ,7,"Matches root operation, body part, and approach. 'Four or More Arteries' is a possible interpretation, although less likely than one or two without further information."
66,02734ZZ,8,"Matches root operation, body part, and approach. 'Four or More Arteries' is a possible interpretation, and 'Percutaneous Endoscopic' is a specific type of 'Percutaneous' approach."
67,4A030BF,1,Root operation 'Measurement' matches the ICD-9 description. 'Arterial Pressure' matches 'Intravascular pressure'. 'Oth Thor' (Other Thoracic) matches 'intrathoracic arteries'. 'Open Approach' is a valid approach.
67,4A033BF,2,Root operation 'Measurement' matches the ICD-9 description. 'Arterial Pressure' matches 'Intravascular pressure'. 'Oth Thor' (Other Thoracic) matches 'intrathoracic arteries'. 'Perc Approach' is a valid approach.
67,0JB40ZZ,3,Root operation 'Excision' does not match 'Measurement'. Body part 'Rt Neck Subcu/Fascia' does not match 'intrathoracic arteries'.
67,0JB43ZZ,4,Root operation 'Excision' does not match 'Measurement'. Body part 'Rt Neck Subcu/Fascia' does not match 'intrathoracic arteries'.
68,4A030B1,1,"Matches the root operation 'Measurement', body part 'Arterial Pressure, Peripheral', and approach 'Open'. The ICD-9 code specifies 'peripheral arteries', which aligns with 'Peripheral' in the ICD-10 code. 'Open Approach' is a valid approach for this procedure, although the ICD-9 code doesn't specify the approach, this code is a plausible representation."
68,4A033B1,2,"Matches the root operation 'Measurement', body part 'Arterial Pressure, Peripheral', and approach 'Percutaneous'. While 'Percutaneous Approach' is a valid approach, the ICD-9 code doesn't specify the approach. This code is less likely than the 'Open Approach' code unless the specific clinical context indicated a percutaneous method, but based purely on the text, both are possibilities."
69,4A040B1,1,Matches 'Measurement' root operation and 'Intravascular pressure measurement' concept. 'Peripheral' is a reasonable default for 'unspecified vessels'.
69,4A040B3,2,"Matches 'Measurement' root operation and 'Intravascular pressure measurement' concept. 'Pulmonary' is a possible vessel type, though 'unspecified' is broader."
69,4A043B1,3,Matches 'Measurement' root operation and 'Intravascular pressure measurement' concept. 'Peripheral' is a reasonable default for 'unspecified vessels'. 'Percutaneous' approach is possible but less likely than 'Open' without further information.
69,4A043B3,4,"Matches 'Measurement' root operation and 'Intravascular pressure measurement' concept. 'Pulmonary' is a possible vessel type, though 'unspecified' is broader. 'Percutaneous' approach is possible but less likely than 'Open' without further information."
69,4A140B1,5,"Matches 'Intravascular pressure measurement' concept but uses 'Monitoring' root operation, which is distinct from 'Measurement'."
69,4A140B3,6,"Matches 'Intravascular pressure measurement' concept but uses 'Monitoring' root operation, which is distinct from 'Measurement'."
