icd9_code,icd10_code,rank,reason
58,02HW40Z,6,"Insertion of pressure sensor in the thoracic aorta descending, percutaneous endoscopic approach is a less ideal match."
58,02HX00Z,7,"Insertion of pressure sensor into the thoracic aorta ascending, open approach is not a direct match."
58,02HX30Z,8,"Insertion of pressure sensor into the thoracic aorta ascending, percutaneous approach is less relevant."
58,02HX40Z,9,"Insertion of pressure sensor in the thoracic aorta ascending, percutaneous endoscopic approach is not a good match."
59,4A033BC,1,"This code specifically describes measurement of arterial pressure in the coronary arteries via a percutaneous approach, which aligns directly with the ICD-9 description."
59,4A030BC,2,"This code describes measurement of arterial pressure in the coronary arteries via an open approach. While it is a measurement, the approach is not the same as in the ICD-9 description."
59,4A133BC,3,"This code describes monitoring of arterial pressure in the coronary arteries via a percutaneous approach. Monitoring is not the same as measurement, but it is related."
59,4A130BC,4,"This code describes monitoring of arterial pressure in the coronary arteries via an open approach. Monitoring is not the same as measurement, and the open approach does not match the ICD-9 description."
62,037G3ZZ,1,"This code describes dilation of the intracranial artery using a percutaneous approach, which directly matches the procedure."
62,037G34Z,2,"This code describes dilation of the intracranial artery with a drug-eluting device using a percutaneous approach, closely matching the procedure."
62,037G3DZ,3,"This code describes dilation of the intracranial artery with an intraluminal device using a percutaneous approach, matching the procedure."
62,037G44Z,4,"This code describes dilation of the intracranial artery with a drug-eluting device using an endoscopic approach, which is not a perfect match but is relevant."
62,037G4DZ,5,"This code describes dilation of the intracranial artery with an intraluminal device using an endoscopic approach, which is less relevant than percutaneous."
62,037G4ZZ,6,"This code describes dilation of the intracranial artery using an endoscopic approach, which is less relevant than percutaneous."
62,057L3DZ,7,"This code describes dilation of the intracranial vein with an intraluminal device using a percutaneous approach, which is not applicable to the artery."
62,057L4DZ,8,"This code describes dilation of the intracranial vein with an intraluminal device using an endoscopic approach, which is not applicable to the artery."
62,0GTG0ZZ,9,"This code describes a resection of the left thyroid gland lobe, which is unrelated to the angioplasty procedure."
62,0GTG4ZZ,10,"This code describes a resection of the left thyroid gland lobe using an endoscopic approach, which is unrelated to the angioplasty procedure."
62,0GTH0ZZ,11,"This code describes a resection of the right thyroid gland lobe, which is unrelated to the angioplasty procedure."
62,0GTH4ZZ,12,"This code describes a resection of the right thyroid gland lobe using an endoscopic approach, which is unrelated to the angioplasty procedure."
66,02703ZZ,1,Matches the procedure for dilation of one coronary artery via percutaneous approach.
66,02704ZZ,2,Matches the procedure for dilation of one coronary artery via percutaneous endoscopic approach.
66,02713ZZ,3,Matches the procedure for dilation of two coronary arteries via percutaneous approach.
66,02714ZZ,4,Matches the procedure for dilation of two coronary arteries via percutaneous endoscopic approach.
66,02723ZZ,5,Matches the procedure for dilation of three coronary arteries via percutaneous approach.
66,02724ZZ,6,Matches the procedure for dilation of three coronary arteries via percutaneous endoscopic approach.
66,02733ZZ,7,Matches the procedure for dilation of four or more coronary arteries via percutaneous approach.
66,02734ZZ,8,Matches the procedure for dilation of four or more coronary arteries via percutaneous endoscopic approach.
67,4A030BF,1,Correct root operation (Measurement) and approach (Open) for intravascular pressure measurement in thoracic arteries.
67,4A033BF,2,Correct root operation (Measurement) and approach (Percutaneous) for intravascular pressure measurement in thoracic arteries.
67,0JB40ZZ,3,no_good_match
67,0JB43ZZ,4,no_good_match
68,4A033B1,1,"The procedure describes a measurement of arterial pressure in peripheral arteries using a percutaneous (Perc) approach, which aligns closely with the intravascular pressure measurement."
68,4A030B1,2,"This procedure also describes a measurement of arterial pressure in peripheral arteries, but it uses an open approach, which is less common for this type of measurement, making it a less optimal match."
69,4A040B1,1,"Direct measurement of venous pressure in a peripheral vessel, open approach matches the procedure description."
69,4A040B3,2,"Direct measurement of venous pressure in a pulmonary vessel, open approach matches the procedure description."
69,4A043B1,3,"Direct measurement of venous pressure in a peripheral vessel, percutaneous approach matches the procedure description."
69,4A043B3,4,"Direct measurement of venous pressure in a pulmonary vessel, percutaneous approach matches the procedure description."
69,4A140B1,5,"Monitoring of venous pressure in a peripheral vessel, open approach is similar but focuses on monitoring rather than measurement."
69,4A140B3,6,"Monitoring of venous pressure in a pulmonary vessel, open approach is similar but focuses on monitoring rather than measurement."
69,4A143B1,7,"Monitoring of venous pressure in a peripheral vessel, percutaneous approach is similar but focuses on monitoring rather than measurement."
69,4A143B3,8,"Monitoring of venous pressure in a pulmonary vessel, percutaneous approach is similar but focuses on monitoring rather than measurement."
86,0SUR0BZ,1,"This code describes the resurfacing of the right hip joint, which matches the procedure of resurfacing the femoral head."
86,0SUS0BZ,2,"This code describes the resurfacing of the left hip joint, which also matches the procedure of resurfacing the femoral head, but for the opposite side."
95,3E043GQ,1,"This code describes the introduction of glucarpidase into a central vein, which is a common route for infusions and aligns well with the procedural meaning of the ICD-9 code."
95,3E033GQ,2,"This code describes the introduction of glucarpidase into a peripheral vein. While it is a valid route for infusion, it is less common than the central vein approach, making it less semantically aligned with the ICD-9 description."
96,30280B1,1,Correct root operation (transfusion) and approach (open) for infusion of 4-Factor PCC.
96,30283B1,2,"Correct root operation (transfusion) and body part (vein) for infusion of 4-Factor PCC, but approach is percutaneous."
101,00953ZZ,1,"This code describes drainage of the intracranial subarachnoid space, which is the most relevant procedure to a cisternal puncture."
101,00954ZZ,2,"This code describes drainage of the cranial subarachnoid space via a percutaneous endoscopic approach, which is less directly related to a cisternal puncture than the first code."
110,4A103BD,1,Monitoring of Intracranial Pressure aligns directly with the procedure of intracranial pressure monitoring.
110,4A003BD,2,"Measurement of Intracranial Pressure, Percutaneous Approach is closely related, focusing on measurement which is a part of monitoring."
110,4A007BD,3,"Measurement of Intracranial Pressure, Via Opening is relevant but focuses on a different approach than standard monitoring."
110,4A008BD,4,"Measurement of Intracranial Pressure, Endo is related but emphasizes an endoscopic approach which is less common for monitoring."
110,4A107BD,5,"Monitoring of Intracranial Pressure, Via Opening is relevant but focuses on a different approach than standard monitoring."
110,4A108BD,6,"Monitoring of Intracranial Pressure, Endo is related but emphasizes an endoscopic approach which is less common for monitoring."
112,00B10ZX,1,"Excision of Cerebral Meninges matches the procedure of open biopsy of cerebral meninges, as it involves removal of tissue for diagnostic purposes."
112,00910ZX,2,Drainage of Cerebral Meninges is related but focuses on drainage rather than biopsy; still relevant to the meninges.
112,00920ZX,3,"Drainage of Dura Mater is less relevant as it pertains specifically to the dura mater, not the cerebral meninges."
112,00B20ZX,4,"Excision of Dura Mater does not match the procedure, as it relates to excising the dura mater, which is not the same as a biopsy of the cerebral meninges."
113,00903ZX,1,"This code describes a drainage procedure of the brain via a percutaneous approach, which aligns closely with the biopsy's diagnostic nature."
113,00904ZX,2,"This code describes a drainage procedure of the brain via a percutaneous endoscopic approach, which is also diagnostic and closely related to the procedure."
113,0W913ZX,3,"This code describes drainage of the cranial cavity via a percutaneous approach, which may involve a similar area but is less specific than direct brain procedures."
113,0W914ZX,4,"This code describes drainage of the cranial cavity via a percutaneous endoscopic approach, also related but less specific than direct brain procedures."
113,00B03ZX,5,"This code describes excision of brain via a percutaneous approach, which is not a match for biopsy (which is a sampling, not an excision)."
113,00B04ZX,6,"This code describes excision of brain via a percutaneous endoscopic approach, which is not a match for biopsy and is more invasive than a biopsy."
114,00B00ZX,1,"Excision of Brain is the closest match to an open biopsy, as it involves tissue removal."
114,00900ZX,2,Drainage of Brain involves an open approach but is more aligned with fluid removal rather than a tissue biopsy.
114,0W910ZX,3,Drainage of Cranial Cavity is not a direct match for biopsy as it pertains to a broader area and does not imply tissue sampling.
115,0NB00ZX,1,"Excision of Skull, Open Approach is the closest to a biopsy, which involves removing a sample of tissue."
115,0NB03ZX,2,"Excision of Skull, Percutaneous Approach is also relevant for obtaining tissue, albeit with a different approach."
115,0NB04ZX,3,"Excision of Skull, Percutaneous Endoscopic Approach is similar to a biopsy but involves an endoscopic method."
115,0N900ZX,4,"Drainage of Skull, Open Approach is a procedure that involves the skull but is not specific to biopsy."
115,0N903ZX,5,"Drainage of Skull, Percutaneous Approach is less relevant as it pertains to drainage rather than biopsy."
115,0N904ZX,6,"Drainage of Skull, Percutaneous Endoscopic Approach is the least relevant as it focuses on drainage, not biopsy."
116,4A103RD,1,"Monitoring of Intracranial Saturation, Percutaneous Approach is the closest match as it specifies monitoring and the approach aligns with typical methods for intracranial procedures."
116,4A107RD,2,"Monitoring of Intracranial Saturation, Via Opening is also a good match, focusing on monitoring and a direct approach to intracranial space."
116,4A108RD,3,"Monitoring of Intracranial Saturation, Endo is relevant but less common for this specific procedure than percutaneous or via opening."
116,4A003RD,4,"Measurement of Intracranial Saturation, Perc Approach is relevant but focuses on measurement rather than monitoring, making it less aligned with the procedure."
116,4A007RD,5,"Measurement of Intracranial Saturation, Via Opening is similar to 4A003RD but still focuses on measurement rather than monitoring."
116,4A008RD,6,"Measurement of Intracranial Saturation, Endo is the least relevant as it focuses on measurement and an endoscopic approach, which is not the primary focus of intracranial oxygen monitoring."
117,4A103KD,1,Monitoring of Intracranial Temperature is directly aligned with the purpose of brain temperature monitoring.
117,4A107KD,2,"Monitoring of Intracranial Temperature, Via Opening, is a valid approach for brain temperature monitoring."
117,4A108KD,3,"Monitoring of Intracranial Temperature, Endo, is an acceptable method for brain temperature monitoring."
117,4A003KD,4,"Measurement of Intracranial Temperature, Perc Approach, while related, focuses on measurement rather than monitoring."
117,4A007KD,5,"Measurement of Intracranial Temperature, Via Opening, also emphasizes measurement instead of monitoring."
117,4A008KD,6,"Measurement of Intracranial Temperature, Endo, like the others focused on measurement, does not align as closely with monitoring."
121,0N9000Z,1,"This code specifies drainage of the skull with a drainage device using an open approach, closely matching the procedure of incision and drainage."
121,0N900ZZ,2,"This code specifies drainage of the skull using an open approach, which aligns with the procedure of incision and drainage."
121,0N9040Z,3,"This code specifies drainage of the skull with a drainage device using a percutaneous endoscopic approach, which is less directly aligned with the open incision but still pertains to drainage."
121,0N904ZZ,4,"This code specifies drainage of the skull using a percutaneous endoscopic approach, which is the least similar to the open incision and drainage procedure."
122,00P00MZ,1,Direct match for removal of neurostimulator lead from brain using open approach.
122,00P03MZ,2,Removal of neurostimulator lead from brain using percutaneous approach; closely matches the procedure.
122,00P04MZ,3,Removal of neuro lead from brain using percutaneous endoscopic approach; relevant to intracranial neurostimulator lead.
122,00P60MZ,4,Removal of neuro lead from cerebral ventricle using open approach; related to intracranial procedures.
122,00P63MZ,5,Removal of neuro lead from cerebral ventricle using percutaneous approach; relevant but less direct than brain removal.
122,00P64MZ,6,Removal of neuro lead from cerebral ventricle using percutaneous endoscopic approach; related but not directly from the brain.
122,00P6XMZ,7,Removal of neuro lead from cerebral ventricle using external approach; not typical for intracranial neurostimulator.
122,0NP00MZ,8,Removal of bone growth stimulator from skull using open approach; not directly related to neurostimulator leads.
122,0NP03MZ,9,Removal of bone growth stimulator from skull using percutaneous approach; unrelated to neurostimulator leads.
122,0NP04MZ,10,Removal of bone stimulator from skull using percutaneous endoscopic approach; unrelated to neurostimulator leads.
122,0NP0XMZ,11,Removal of bone stimulator from skull using external approach; not relevant to the procedure in question.
125,0NB00ZZ,1,"Excision of Skull, Open Approach closely matches craniectomy, which involves removing a section of the skull."
125,0N500ZZ,2,"Destruction of Skull, Open Approach may relate to craniectomy as it involves manipulation of the skull, though it implies a different intent."
125,0NB03ZZ,3,"Excision of Skull, Percutaneous Approach is relevant as it describes a similar procedure with a different approach."
125,0NB04ZZ,4,"Excision of Skull, Percutaneous Endoscopic Approach is also relevant, representing a less invasive method."
125,0NT10ZZ,5,"Resection of Frontal Bone, Open Approach is relevant as it involves the frontal bone, which may be part of a craniectomy."
125,0NT30ZZ,6,"Resection of Right Parietal Bone, Open Approach is relevant for similar reasons as above."
125,0NT40ZZ,7,"Resection of Left Parietal Bone, Open Approach is relevant for similar reasons as above."
125,0NT50ZZ,8,"Resection of Right Temporal Bone, Open Approach is relevant for similar reasons as above."
125,0NT60ZZ,9,"Resection of Left Temporal Bone, Open Approach is relevant for similar reasons as above."
125,0NT70ZZ,10,"Resection of Occipital Bone, Open Approach is relevant for similar reasons as above."
125,0N503ZZ,11,"Destruction of Skull, Percutaneous Approach is less relevant than other options due to the nature of the procedure."
125,0N504ZZ,12,"Destruction of Skull, Percutaneous Endoscopic Approach is the least relevant due to the focus on destruction rather than excision."
126,0WH103Z,1,"The open approach aligns with the insertion of a catheter into the cranial cavity, matching the procedural intent."
126,0WH133Z,2,"The percutaneous approach is also relevant for catheter insertion into the cranial cavity, making it a good match."
126,0WH143Z,3,The percutaneous endoscopic approach is less common for this type of procedure but still relates to catheter insertion in the cranial cavity.
127,0WP103Z,1,Open approach matches the removal of catheter from cranial cavity.
127,0WP133Z,2,Percutaneous approach matches the removal of catheter from cranial cavity.
127,0WP143Z,3,Percutaneous endoscopic approach matches the removal of catheter from cranial cavity.
127,0WP1X3Z,4,External approach is less common for removal but still relates to removal of device from cranial cavity.
131,00910ZZ,1,Directly matches the procedure of 'Incision of cerebral meninges' as it indicates drainage without device.
131,009100Z,2,Similar to the top rank but specifies the use of a drain device; still relevant to the procedure.
131,00C10ZZ,3,"Involves extirpation of matter from cerebral meninges, which can relate to surgical intervention but is not an incision."
131,00C13ZZ,4,"Percutaneous approach for extirpation, which is less relevant than open approaches to 'incision'."
131,00C14ZZ,5,Percutaneous endoscopic approach for extirpation; least relevant to the original procedure of incision.
132,00870ZZ,1,"Best match for 'Lobotomy and tractotomy' as it specifies division of the cerebral hemisphere, which aligns with the procedure's focus on the brain's functional areas."
132,00800ZZ,2,"This code indicates division of the brain with an open approach, which is relevant to lobotomy procedures."
132,00803ZZ,3,"This code indicates division of the brain via a percutaneous approach, which is a less invasive method but still relevant."
132,00804ZZ,4,"This code indicates division of the brain via a percutaneous endoscopic approach, which is relevant but less aligned with traditional lobotomy."
132,00873ZZ,5,Division of the cerebral hemisphere via a percutaneous approach is relevant but less commonly associated with lobotomy than open approaches.
132,00874ZZ,6,Division of the cerebral hemisphere via a percutaneous endoscopic approach is the least aligned with lobotomy as it suggests a minimally invasive approach.
151,00B10ZZ,1,Directly matches the procedure of excision of cerebral meninges with open approach.
151,00B13ZZ,2,Matches the procedure of excision of cerebral meninges with percutaneous approach.
151,00B14ZZ,3,Matches the procedure of excision of cerebral meninges with percutaneous endoscopic approach.
151,00510ZZ,4,"Destruction of cerebral meninges is related but does not match excision, making it less relevant."
151,00513ZZ,5,Destruction of cerebral meninges via percutaneous approach is related but not an excision.
151,00514ZZ,6,Destruction of cerebral meninges via percutaneous endoscopic approach is related but not an excision.
151,00D10ZZ,7,"Extraction is different from excision, making it less relevant."
151,00D13ZZ,8,Extraction via percutaneous approach is different from excision.
