original_name,clean,counts
*NF* Tranexamic Acid,tranexamic acid,15
*NF* Triazolam,triazolam,9
*NF* Trileptal (oxcarbazepine),trileptal (oxcarbazepine),25
*NF* Trospium,trospium,8
*NF* Warfarin,warfarin,8
*NF* galanta,galantamine,11
*NF*Benefiber,benefiber,9
*Nf* Pletal,pletal,6
*nf,UNK,0
*nf* ,UNK,0
-Acetylcysteine (NAC),-acetylcysteine (nac),21
0.00Icy Hot,0.00icy hot,11
0.25% Bupivicaine,0.25% bupivicaine,17
0.25% bupivacaine,0.25% bupivacaine,17
0.9% NACL 100mL Bag,0.9% nacl 100ml,15
0.9% NACL 100mL Bag ,0.9% nacl 100ml,15
0.9% NaCl ,0.9% nacl,9
0.9% NaCl - 100 mL Bag,0.9% nacl - 100ml,17
0.9% NaCl - 100 mL bag,0.9% nacl - 100ml,17
0.9% NaCl - 100 ml bag,0.9% nacl - 100ml,17
0.9% NaCl - 100mL bag,0.9% nacl - 100ml,17
00Lenvima,00lenvima,9
0Avapro,0avapro,7
1,UNK,0
1 gm/0gm Ceftriaxone,1 gm/0gm ceftriaxone,20
1 gr/0 gr ceftriaxone,1 gr/0 gr ceftriaxone,21
1Travatan Z,1travatan z,11
2,UNK,0
23.4%,23.4%,5
23.4% Sodium Chloride,23.4% sodium chloride,21
3,UNK,0
"3,4-Diaminopyridine",34-diaminopyridine,18
4-Aminopyridine,4-aminopyridine,15
4-aminopyridine,4-aminopyridine,15
5-HTP,5-htp,5
5-hydroxytryptophan,5-hydroxytryptophan,19
7-Keto DHEA,7-keto dhea,11
9Cinryze,9cinryze,8
ABT-199,abt-199,7
ACCUtane,accutane,8
ACD-A,acd-a,5
ACETAMINOPHEN,acetaminophen,13
ACETOMINOPHEN DRUG,acetominophen,13
ACP-103 ( pimavanserin) 20mg,acp-103 (pimavanserin) 20mg,27
ACP-103 (pimavanserin),acp-103 (pimavanserin),22
ACYclovir,acyclovir,9
ACetaminophen,acetaminophen,13
ADYNOvate (pegylated Factor 8),adynovate (pegylated factor 8),30
AH Topical Gel,ah topical gel,14
ALEMtuzumab,alemtuzumab,11
ALEMtuzumab (Campath),alemtuzumab (campath),21
ALPRAZolam,alprazolam,10
AMANTADINE,amantadine,10
AMIKACIN - DOSING BY PHARMACY,amikacin - dosing by pharmacy,29
AMOXicillin,amoxicillin,11
AMOXicillin Oral Susp.,amoxicillin .,13
ANDROGEL,androgel,8
APAP,apap,4
APOKYN,apokyn,6
APRIDA SoluStar U-100,aprida solustar u-100,21
ARIP,aripiprazole,12
ARIPiprazole,aripiprazole,12
ARIPiprazole Extended Release,aripiprazole extended release,29
ARIPiprazole lauroxiL,aripiprazole lauroxil,21
ASENapine,asenapine,9
ASPIRIN325MG,aspirin325mg,12
ATG (Horse) Desensitization ,atg (horse) desensitization,27
ATRIPLA,atripla,7
ATRIPLA ,atripla,7
ATRIPLA (600-200-300),atripla (600-200-300),21
ATRIPLA (600-200-300mg/Tab),atripla (600-200-300mg/),24
ATRIPLA 600 mg-200 mg-300 mg Tab,atripla 600mg-200mg-300mg,25
ATRIPLA 600-200-300mg,atripla 600-200-300mg,21
ATRIPLA(Efavirenz/Emtricitabine/ tenofovir disoproxil fumarate),atripla(efavirenz/emtricitabine/tenofovir disoproxil fumarate),62
ATROVENT NEB.,atrovent neb.,13
AVINza,avinza,6
AYR Saline Nasal Gel,ayr saline gel,14
AZD7422 (AZD08895+AZD1061),azd7422 (azd08895+azd1061),26
AZD7442 (AZD8895+ AZD1061),azd7442 (azd8895+ azd1061),26
AZD7442 (AZD8895+AZD1061),azd7442 (azd8895+azd1061),25
AZD7442(AZD8895+AZD1061),azd7442(azd8895+azd1061),24
AZD77442(AZD8895+AZD1061),azd77442(azd8895+azd1061),25
AZILECT,azilect,7
AZILECT  (rasagiline) ,azilect (rasagiline),20
AZILECT (Rasagiline) 0.5mg TAB,azilect (rasagiline) 0.5mg,26
AZILECT 0.5 MG TAB,azilect 0.5mg,13
AZILECT(rasagiline),azilect(rasagiline),19
AZILECT(rasagilne),azilect(rasagilne),18
AZITHROMYCIN,azithromycin,12
AZITHromycin,azithromycin,12
Abacav,abacavir,8
Abacavir,abacavir,8
Abacavir ,abacavir,8
Abacavir Oral Solution,abacavir,8
Abacavir Sulfate,abacavir sulfate,16
Abacavir-Lamivudine-Zidovudine,abacavir-lamivudine-zidovudine,30
Abatacept,abatacept,9
Abciximab,abciximab,9
Abelcet (amphotericin lipid complex),abelcet (amphotericin lipid complex),36
Abilify,abilify,7
Abilify 20mg TAB,abilify 20mg,12
Abilify Discmelt,abilify discmelt,16
Abilify Maintena,abilify maintena,16
Abiraterone,abiraterone,11
Abiraterone (Zytiga),abiraterone (zytiga),20
Abreva,abreva,6
Acalabrutinib,acalabrutinib,13
Acalabrutinib *NF*,acalabrutinib,13
Acamprosate,acamprosate,11
Acarbose,acarbose,8
AccoLATE,accolate,8
Accolate,accolate,8
Ace,ace,3
Acebutolol,acebutolol,10
Acebutolol HCl,acebutolol hcl,14
Acet,acetaminophen,13
AcetaZOLa,acetazolamide,13
AcetaZOLami,acetazolamide,13
AcetaZOLamide,acetazolamide,13
AcetaZOLamide S.R.,acetazolamide sodium.r.,23
Acetami,acetaminophen,13
Acetamiinophen,acetaminophen,13
Acetamin 1000mg/100mL 100mL Vial,acetaminophen 1000mg/100ml 100ml,32
Acetaminop,acetaminophen,13
Acetaminoph,acetaminophen,13
Acetaminophen,acetaminophen,13
Acetaminophen ,acetaminophen,13
Acetaminophen (Gluten-Free) 500mg,acetaminophen (gluten-) 500mg,29
Acetaminophen (Liquid),acetaminophen,13
Acetaminophen (Liquid) 650mg CUP,acetaminophen  650mg,20
Acetaminophen (Rectal 650mg SUPP,acetaminophen ( 650mg,21
Acetaminophen (Rectal),acetaminophen,13
Acetaminophen 325mg TAB,acetaminophen 325mg,19
Acetaminophen 500mg Gelcaps,acetaminophen 500mg,19
Acetaminophen 500mg TAB,acetaminophen 500mg,19
Acetaminophen Drug,acetaminophen,13
Acetaminophen Extra Strength,acetaminophen extra strength,28
Acetaminophen Gel Cap,acetaminophen gel,17
Acetaminophen IV,acetaminophen,13
Acetaminophen Infant,acetaminophen infant,20
Acetaminophen PM,acetaminophen pm,16
Acetaminophen drug,acetaminophen,13
Acetaminophen w/,acetaminophen w/,16
Acetaminophen w/Codeine,acetaminophen w/codeine,23
Acetaminophen w/Codeine Elixir,acetaminophen w/codeine elixir,30
Acetaminophen-Caff,acetaminophen-caff,18
Acetaminophen-Caff-Butalbital,acetaminophen-caff-butalbital,29
Acetaminophen-Caffeine,acetaminophen-caffeine,22
Acetaminophin Drug,acetaminophin,13
Acetic Acid,acetic acid,11
Acetic Acid 0.25% Irrig. Soln,acetic acid 0.25% irrig.,24
Acetic Acid 2% Otic Solution,acetic acid 2% otic,19
Acetic Acid 3% (For Topical Irrigation),acetic acid 3% (topical),24
Acetic Acid Glacial 0.04%,acetic acid 0.04%,17
Acetominophen,acetominophen,13
Acetyl,acetylcysteine,14
Acetylcyste,acetylcysteine,14
Acetylcystei,acetylcysteine,14
Acetylcystein,acetylcysteine,14
Acetylcysteine,acetylcysteine,14
Acetylcysteine ,acetylcysteine,14
Acetylcysteine (IV),acetylcysteine,14
Acetylcysteine 10%,acetylcysteine 10%,18
Acetylcysteine 20%,acetylcysteine 20%,18
Acetylcysteine 20% (Ora 4mL VIAL,acetylcysteine 20% (ora 4ml,27
Acetylcysteine Inhaled - For interventional pulmonary use only,acetylcysteine -,16
Acetylcysteine Inhaled – For interventional pulmonary use only,acetylcysteine –,16
Acidophilus,acidophilus,11
Acidophilus Probiotic,acidophilus probiotic,21
Acidophilus-B.bifidum-B.longum,acidophilus-b.bifidum-b.longum,30
AcipHex,aciphex,7
AcipHex (rabeprazole),aciphex (rabeprazole),21
Aciphex,aciphex,7
Aciphex (RABEprazole) 20 mg,aciphex (rabeprazole) 20mg,26
Aciphex (rabeprazole),aciphex (rabeprazole),21
Aciphex 20mg,aciphex 20mg,12
Aciphex ec,aciphex ec,10
Acotol,acotol,6
Actemra,actemra,7
Actigall,actigall,8
Actimmune,actimmune,9
Actiq,actiq,5
Actiq (Fentanyl Citrate),actiq (fentanyl citrate),24
Activated Charcoal,activated charcoal,18
Activated Charcoal-Sorbitol,activated charcoal-sorbitol,27
Activella,activella,9
Actonel,actonel,7
Acular,acular,6
Acular LS,acular ls,9
Acular LS 0.4%,acular ls 0.4%,14
Acyclovir,acyclovir,9
Acyclovir Ointment 5%,acyclovir 5%,12
Acyclovir Suspension,acyclovir,9
Acyclovir suspension,acyclovir,9
Aczone,aczone,6
Adapalene,adapalene,9
Adcirca,adcirca,7
Adcirca (Tadalafil),adcirca (tadalafil),19
Adcirca (tadalafil ),adcirca (tadalafil),19
Adcirca (tadalafil),adcirca (tadalafil),19
Adcirca 20mg,adcirca 20mg,12
Adderal,adderall,8
Adderall,adderall,8
Adderall ,adderall,8
Adderall 10mg,adderall 10mg,13
Adderall 30mg tab,adderall 30mg,13
Adderall 30mg tablet,adderall 30mg,13
Adderall XR,adderall xr,11
Adderall XR 30mg,adderall xr 30mg,16
Adefovir,adefovir,8
Adempas,adempas,7
Adempas (riociguat),adempas (riociguat),19
Adenosine,adenosine,9
Adenosine 6mg/2mL 2mL VIAL,adenosine 6mg/2ml 2ml,21
Adenosine Liver Flush,adenosine liver flush,21
Ado-trastuzumab emtansine,ado-trastuzumab emtansine,25
Adrenal Essence,adrenal essence,15
Advair Diskus,advair diskus,13
Advair Diskus 500/50,advair diskus 500/50,20
Advair HFA,advair hfa,10
Advair HFA *NF*,advair hfa,10
Advair HFA 115/21,advair hfa 115/,15
Advair HFA 115/21 mcg/actuation,advair hfa 115/mcg/actuation,28
Advair HFA 230-21,advair hfa 230-,15
Advair HFA 230/21 mcg,advair hfa 230/mcg,18
Advanced Eye Health,advanced health,15
Advil,advil,5
Advil Cold & Sinus,advil cold & sinus,18
Advil Liqui-Gel,advil liqui-gel,15
Advil PM,advil pm,8
Aerobid,aerobid,7
Afatinib,afatinib,8
Afinitor,afinitor,8
Afrin,afrin,5
Afrin (oxymetazoline),afrin (oxymetazoline),21
Afrin Sinus,afrin sinus,11
Afrin Sinus No Drip,afrin sinus no drip,19
Aggrenox,aggrenox,8
Agrylin,agrylin,7
Agrylin (anagrelide) 0.5mg CAP,agrylin (anagrelide) 0.5mg,26
Aimovig Autoinjector,aimovig autoinjector,20
Ajovy Syringe,ajovy syringe,13
Akwa Tears,akwa,4
Al,UNK,2
Alavert,alavert,7
Alavert (loratadine),alavert (loratadine),20
Alaway,alaway,6
Alaway (ketotifen fumarate),alaway (ketotifen fumarate),27
Alb,albumin,7
Albendazole,albendazole,11
Albu,albumin,7
Album,albumin,7
Albumi,albumin,7
Albumin,albumin,7
Albumin ,albumin,7
Albumin 25,albumin 25,10
Albumin 25%,albumin 25%,11
Albumin 25% ,albumin 25%,11
Albumin 25% (12.5g / 50mL),albumin 25% (12.5g/50ml),24
Albumin 25% (25g /100mL),albumin 25% (25g/100ml),23
Albumin 5,albumin 5,9
Albumin 5%,albumin 5%,10
Albumin 5% ,albumin 5%,10
Albumin 5% (,albumin 5% (,12
Albumin 5% (12.5g / 250mL),albumin 5% (12.5g/250ml),24
Albumin 5% (25g / 500mL),albumin 5% (25g/500ml),22
Albumin 5% ),albumin 5% ),12
Albumin 5% 12.5g/250mL 250mL BAG,albumin 5% 12.5g/250ml 250ml,28
"Albumin, Human 25 %",albumin 25%,11
Albut,albuterol,9
Albute,albuterol,9
Albuterol,albuterol,9
Albuterol ,albuterol,9
Albuterol 0.,albuterol 0.,12
Albuterol 0.083% Neb Soln,albuterol 0.083% neb,20
Albuterol 0.083% Neb Soln 1Neb,albuterol 0.083% neb 1neb,25
Albuterol 0.5%,albuterol 0.5%,14
Albuterol 0.5% Continuous Administration,albuterol 0.5% continuous administration,40
Albuterol Inhalation Soln 0.5%,albuterol 0.5%,14
Albuterol Inhaler,albuterol,9
Albuterol Inhaler (ProAir),albuterol (proair),18
Albuterol Inhaler INH,albuterol,9
Albuterol MDI,albuterol mdi,13
Albuterol Sulfate,albuterol sulfate,17
Albuterol Sulfate (Extended Release),albuterol sulfate (extended release),36
Albuterol inh,albuterol,9
Albuterol sulfate,albuterol sulfate,17
Albuterol-Ipratropium,albuterol-ipratropium,21
Alcohol Dehydrated,alcohol dehydrated,18
Aldactazide,aldactazide,11
Aldactazide(Hydrochlorothiazide 25 mg / spironolactone 25 mg),aldactazide(hydrochlorothiazide 25mg/spironolactone 25mg),57
Aldactone,aldactone,9
Aldara,aldara,6
Aldesleukin,aldesleukin,11
Alecensa,alecensa,8
Alecensa (alectinib),alecensa (alectinib),20
Alectinib,alectinib,9
Alectinib ,alectinib,9
Alemtuzumab,alemtuzumab,11
Alendro,alendro,7
Alendronate,alendronate,11
Alendronate ,alendronate,11
Alendronate Sodium,alendronate sodium,18
Alendronate Sodium ,alendronate sodium,18
Aleve,aleve,5
Alfuzosin,alfuzosin,9
Aliclen,aliclen,7
Align,align,5
Align ( bifidobacterium infantis),align (bifidobacterium infantis),32
Align (Bifidobacterium infantis),align (bifidobacterium infantis),32
Align (bifidobacterium),align (bifidobacterium),23
Alinia,alinia,6
Alisertib,alisertib,9
Aliskiren,aliskiren,9
Alka-Seltzer,alka-seltzer,12
Alka-Seltzer 324 mg,alka-seltzer 324mg,18
Alka-Seltzer Gold,alka-seltzer gold,17
Alka-Seltzer Original,alka-seltzer original,21
Allegra,allegra,7
Allegra Allergy,allegra allergy,15
Allegra Allergy  ,allegra allergy,15
Allegra-D 12 Hour,allegra-d 12 hour,17
Aller-Tec,aller-tec,9
Aller-Tec (Cetirizine),aller-tec (cetirizine),22
Allopurinol,allopurinol,11
Allopurinol Sodium,allopurinol sodium,18
AloXI,aloxi,5
Alora,alora,5
Alosetron HCl,alosetron hcl,13
Alpha Lipoic Acid,alpha lipoic acid,17
Alphagan P,alphagan p,10
Alphagan P ,alphagan p,10
Alphagan P (brimonidine),alphagan p (brimonidine),24
Alphagan P 0.1%,alphagan p 0.1%,15
Alprazolam,alprazolam,10
Alprazolam ER,alprazolam er,13
Alprostadil,alprostadil,11
Alrex,alrex,5
Alrex 0.2%,alrex 0.2%,10
Altavera (28),altavera,8
Altavera (28):ethinyl estradiol/levonorgestrel,altavera :ethinyl estradiol/levonorgestrel,42
Altepla,alteplase,9
Alteplas,alteplase,9
Alteplase,alteplase,9
Alteplase ,alteplase,9
Alteplase (Catheter Clearance),alteplase (catheter clearance),30
Alteplase (External Ventricular Drain),alteplase (external ventricular drain),38
Alteplase 1mg,alteplase 1mg,13
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),alteplase 1mg/1ml (clearance ie. temp tlcl),43
"Alteplase 1mg/2mL ( Clearance ie. PICC, midline, tunneled access line, PA )",alteplase 1mg/2ml (clearance ie. picc midline  pa),50
"Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line )",alteplase 1mg/2ml (clearance ie. picc),38
"Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line, PA )",alteplase 1mg/2ml (clearance ie. picc  pa),42
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),alteplase 1mg/5ml (clearance ie. indwelling port),49
Alteplase 1mg/Flush Volume ( Dialysis/Pheresis Catheters ),alteplase 1mg/flush volume (dialysis/pheresis catheters),56
Alternagel,alternagel,10
Alternagel-Benadryl-Lidocaine Visc.,alternagel-benadryl-lidocaine visc.,35
Altoprev,altoprev,8
Alum Potassium,alum potassium,14
Aluminum,aluminum,8
Aluminum Hydroxide,aluminum hydroxide,18
Aluminum Hydroxide Suspension,aluminum hydroxide,18
Aluminum-Magnesium Hydrox.-Simethicone,aluminum-magnesium hydrox.-simethicone,38
Alvesco,alvesco,7
Alvimopan,alvimopan,9
Alyacen 1/35 (28),alyacen 1/35,12
AmLactin,amlactin,8
Amantadine,amantadine,10
Amantadine Syrup,amantadine,10
Amaryl,amaryl,6
Ambien,ambien,6
Ambien (BRAND NAME),ambien,6
Ambien CR,ambien cr,9
Ambien CR (Zolpidem),ambien cr (zolpidem),20
Ambien CR (zolpidem CR),ambien cr (zolpidem cr),23
Ambisome,ambisome,8
Ambrisentan,ambrisentan,11
Ambrisentan (Letairis),ambrisentan (letairis),22
Amerge,amerge,6
Amethyst  90 mcg/20 mcg Tabs,amethyst 90 mcg/20 mcg,22
Amicar,amicar,6
Amikacin,amikacin,8
Amikacin - Dosing by pharmacy,amikacin - dosing by pharmacy,29
Amikacin Inhalation,amikacin,8
Amiloride HCl,amiloride hcl,13
Amin,aminocaproic,12
Amino,aminocaproic,12
Aminoc,aminocaproic,12
Aminoca,aminocaproic,12
Aminocap,aminocaproic,12
Aminocapr,aminocaproic,12
Aminocapro,aminocaproic,12
Aminocaproi,aminocaproic,12
Aminocaproic,aminocaproic,12
Aminocaproic ,aminocaproic,12
Aminocaproic Aci,aminocaproic acid,17
Aminocaproic Acid,aminocaproic acid,17
Aminocaproic Acid ,aminocaproic acid,17
Aminocaproic Acid 25 % Oral Rinse,aminocaproic acid 25%,21
Aminocaproic Acid 25% Oral Rinse,aminocaproic acid 25%,21
Aminolevulinic Acid,aminolevulinic acid,19
Aminophylline,aminophylline,13
Aminopyridine,aminopyridine,13
Amioda,amiodarone,10
Amiodarone,amiodarone,10
Amiodarone ,amiodarone,10
Amiodarone (f 150mg/3mL 3mL Vial,amiodarone (f 150mg/3ml 3ml,27
Amiodarone (for dilution),amiodarone (dilution),21
Amiodarone Oral Suspension,amiodarone,10
Amit-bacl-keto,amit-bacl-keto,14
Amitiza,amitiza,7
Amitriptyline,amitriptyline,13
Amitriptyline HCl,amitriptyline hcl,17
Amlodipine,amlodipine,10
Ammonium Lactate,ammonium lactate,16
Amnesteem,amnesteem,9
Amnioinfusion (NS),amnioinfusion (ns),18
Amobarbital Sodium,amobarbital sodium,18
Amox,amoxicillin,11
Amoxic,amoxicillin,11
Amoxicill,amoxicillin,11
Amoxicillin,amoxicillin,11
Amoxicillin Oral Susp.,amoxicillin .,13
Amoxicillin-Clavulanate,amoxicillin-clavulanate,23
Amoxicillin-Clavulanate ,amoxicillin-clavulanate,23
Amoxicillin-Clavulanate Desensitization,amoxicillin-clavulanate desensitization,39
Amoxicillin-Clavulanate Susp,amoxicillin-clavulanate,23
Amoxicillin-Clavulanate Susp.,amoxicillin-clavulanate .,25
Amoxicillin-Clavulanic Acid,amoxicillin-clavulanic acid,27
Amphe,amphetamine,11
Amphetam,amphetamine,11
Amphetami,amphetamine,11
Amphetamin,amphetamine,11
Amphetamine,amphetamine,11
Amphetamine Salt Combo,amphetamine salt,16
Amphetamine-Dextroamphetamin,amphetamine-dextroamphetamin,28
Amphetamine-Dextroamphetamine,amphetamine-dextroamphetamine,29
Amphetamine-Dextroamphetamine XR,amphetamine-dextroamphetamine xr,32
Amphotericin B,amphotericin b,14
Amphotericin B (Bulk),amphotericin b,14
Amphotericin B Deoxycholate,amphotericin b deoxycholate,27
Amphotericin B Deoxycholate 5mcg/0.1mL,amphotericin b deoxycholate 5mcg/0.1ml,38
Amphotericin B Nebulized,amphotericin b nebulized,24
Amphotericin B Ophth Soln 0.1%,amphotericin b 0.1%,19
Amphotericin B Oral Suspension,amphotericin b,14
Ampicillin,ampicillin,10
Ampicillin Antibiotic Lock,ampicillin antibiotic lock,26
Ampicillin Desensitization,ampicillin desensitization,26
Ampicillin Graded Challenge,ampicillin graded challenge,27
Ampicillin-Heparin Lock,ampicillin-heparin lock,23
Ampicillin-Sulbact Graded Challenge,ampicillin-sulbact graded challenge,35
Ampicillin-Sulbactam,ampicillin-sulbactam,20
Ampyra,ampyra,6
Ampyra (40-Aminopyridine),ampyra (40-aminopyridine),25
Ampyra (dalfampridine),ampyra (dalfampridine),22
Ampyra ER (Dalfampridine ER),ampyra er (dalfampridine er),28
Amrix,amrix,5
Amylase-Lipase-Protease,amylase-lipase-protease,23
Anagrelide,anagrelide,10
Anakinra ,anakinra,8
Anakinra *NF*,anakinra,8
Anakinra 100 mg/0mg ,anakinra 100mg/0mg,18
Anakinra syringe 0.67ml,anakinra syringe 0.67ml,23
Anakinra syringe 100 mg/0mg,anakinra syringe 100mg/0mg,26
Anakinra syringe 100 mg/0mg ,anakinra syringe 100mg/0mg,26
Analpram-HC Singles,analpram-hc singles,19
Anamorelin,anamorelin,10
Anamorelin  ,anamorelin,10
Anamorelin HCl,anamorelin hcl,14
Anas,anastrozole,11
Anastr,anastrozole,11
Anastro,anastrozole,11
Anastrozole,anastrozole,11
Anbesol,anbesol,7
Anbesol (benzocaine),anbesol (benzocaine),20
Andexxa,andexxa,7
AndroGeL,androgel,8
AndroGeL (testosterone gel),androgel (testosterone gel),27
AndroGel,androgel,8
AndroGel (20.25mg/1.25gm-1.62%),androgel (20.25mg/1.25gm-1.62%),31
AndroGel 1% ,androgel 1%,11
AndroGel 1%  (testosterone),androgel 1% (testosterone),26
AndroGel 1% Pump,androgel 1% pump,16
AndroGel 1.25 g/1 %,androgel 1.25 g/1%,18
AndroGel 1.62%,androgel 1.62%,14
AndroGel 1.62%(20.25mg/pump),androgel 1.62%(20.25mg/pump),28
Androderm,androderm,9
Androxy,androxy,7
Anefrin,anefrin,7
Angiotensin II,angiotensin ii,14
Anidulafungin,anidulafungin,13
Anoro Ellipta,anoro ellipta,13
Anoro Ellipta  (umeclidinium-vilanteroL),anoro ellipta (umeclidinium-vilanterol),39
Anoro Ellipta (62.5mcg/25mcg),anoro ellipta (62.5mcg/25mcg),29
Anoro Ellipta (Umeclidinium-Vilanterol),anoro ellipta (umeclidinium-vilanterol),39
Anoro Ellipta (umeclidinium) 62.5/25 mcg,anoro ellipta (umeclidinium) 62.5/25 mcg,40
Anoro Ellipta (umeclidinium-vilanteroL),anoro ellipta (umeclidinium-vilanterol),39
Anoro Ellipta (umeclidinium-vilanteroL) 62.5-25 mcg/actuation,anoro ellipta (umeclidinium-vilanterol) 62.5-25 mcg/actuation,61
Anoro Ellipta (umeclidinium-vilanterol),anoro ellipta (umeclidinium-vilanterol),39
Anoro Ellipta 62.5-25,anoro ellipta 62.5-25,21
Anoro Ellipta 62.5-25 mcg,anoro ellipta 62.5-25 mcg,25
Anoro Ellipta 62.5-25mcg,anoro ellipta 62.5-25mcg,24
Anoro Ellipta 62.5/25,anoro ellipta 62.5/25,21
Anoro Ellipta 62.5/25mcg,anoro ellipta 62.5/25mcg,24
