original_values,clean,numric
NEGATIVE THIN AND THICK SMEAR,NEGATIVE,
3.-5,4,4.0
DKBRWN,BROWN,
0-2R,1,1.0
YELL,YELLOW,
NEGAITVE,NEGATIVE,
NEGATIVAE,NEGATIVE,
>50.,55,55.0
0-2 COARSE,1,1.0
TRA,TRACE,
LARG,LARGE,
M0D,MODERATE,
CLDY,CLOUDY,
DARKYELLOW,YELLOW,
NEGOTIVE,NEGATIVE,
NEGATIVE THIN AND THICK SMEARS,NEGATIVE,
MOD.,MODERATE,
NEGAYIVE,NEGATIVE,
DRKYELLOW,YELLOW,
DKAML,AMBER,
NRGATIVE,NEGATIVE,
DKRMB,AMBER,
OCC.,OCCASIONAL,
OCCASIONAL,OCCASIONAL,
NEGATIVE FOR THIN AND THICK SMEAR REVIEWED,NEGATIVE,
NEGATIVE FOR TICK SMEAR,NEGATIVE,
NEGATIVE THICK SMEARS,NEGATIVE,
POSITIVE FOR ANAPLASMA,POSITIVE,
RARE/VERIFIED,RARE,
NORMA,NORMAL,
FEW],FEW,
DRKAMB,AMBER,
"NEGATIVE FOR INTRA AND EXTRACELLULARFORMS,THIN AND THICK SMEARS REVIEWED",NEGATIVE,
NEGATIVE FOR INTRA AND EXTRA CELLULAR FORMS,NEGATIVE,
NEG FOR INTRA AND EXTRACELLULAR ORGANISMS,NEGATIVE,
6-10-,8,8.0
YELLLOW,YELLOW,
0.1% PARASITEMIA,POSITIVE,
LRG,LARGE,
DKYELLO,YELLOW,
NEGTIVE FOR INTRACELLULAR AND EXTRACELLULAR PARASITS,NEGATIVE,
OCCASSIONAL,OCCASIONAL,
6-10.,8,8.0
3--5,4,4.0
0-2.,1,1.0
0.8% PARASITEMIA,POSITIVE,
"POSITIVE, 0.7% PARASITEMIA",POSITIVE,
0.6% PARASITEMIA,POSITIVE,
FEW SMALL,FEW,
HAZ,HAZY,
"NEGATIVE, THIN AND THICK SMEARS REVIEWED",NEGATIVE,
6-106-10,8,8.0
GREATER THAN 1.030,1.04,1.04
NEG ON THIN SMEAR,NEGATIVE,
LA,LARGE,
NEGATIVE FOR INTRA/EXTRA CELLULAR PARASITES,NEGATIVE,
SODIUM URATES RARE,RARE,
:PRESENT,POSITIVE,
RARE COARSE GRANULAR CAST,RARE,
"NEGATIVE FOR INTRA AND EXTRACELLULAR FORMS, THICK AND THIN SMEARS REVIEWED, IF HIGH CLINICAL SUSPICION OF MALARIA REPEAT SCREEN EVERY 12-24 HOURS FOR 3 CONSECUTIVE DAYS",NEGATIVE,
0.7% PARASITEMIA,POSITIVE,
TELLOW,YELLOW,
> 1.035,1.05,1.05
ORNAGE,ORANGE,
0.2 % PARASITEMIA,POSITIVE,
SMA,SMALL,
BR,BROWN,
.21-50,35,35.0
OR,ORANGE,
NEGATIVE FOR THIN SMEAR,NEGATIVE,
NEG FOR INTRA AND EXTRACELLULAR FORMS,NEGATIVE,
:>1.030,1.04,1.04
DKRED,RED,
REARE,RED,
NEGTIVE,NEGATIVE,
RARE\,RARE,
0-2 TRANS,1,1.0
AMNER,RED,
NEGATIVE FOE INTRA AND EXTRACELLULAR FORMS,NEGATIVE,
>1.035 REFRACTOMETER,1.05,1.05
0-2F,1,1.0
NEGATIVE FOR INTRA NAD EXTRACELLUAR FORMS,NEGATIVE,
0-2'ONE(1) LARGE CLUMP,1,1.0
F-MOD,FEW,
NEGATIVIE,NEGATIVE,
NEGSTIVE,NEGATIVE,
NROMAL,NORMAL,
